# DFZ 五变元线性秩不等式参考族: 24 条 (arXiv 0910.0284 式(1)-(24)) + 4 个 Ingleton 形式 (式(36)-(39))
# 生成方式: 机器解析 psitip 源码内嵌 dfz_linear_ineq (作者 Cheuk Ting Li 对 DFZ 的独立转录),
#   Ingleton 四形式按论文 PDF 原文转录; 全程无人工抄写系数.
# 校验(2026-08-12, 本容器): 逐变元平衡 28/28; 2,400 个真实子空间秩向量 (F2/F3/F_p) 零违反;
#   S5 类互异 28/28; 与 PDF 抽取件可核对的 17 条逐项一致 (source=psitip+pdf);
#   其余 11 条为单源 (dfz10,11,13,14,15,16,19,20,21,22,23), 请对照论文式(10)-(23)人工抽查.
# 双向锥裁决 (s12): 28 类中唯一不被 (M_LR+Shannon) 蕴含的是 ing39; 我们 27 类全部被参考锥蕴含.
#   判决: PSITIP-INCOMPLETE, 缺失类 = Ingleton(39) (四槽位全含 A 的重叠形式; psitip 的
#   ingleton_bound 只做互斥子集代入, 结构上生不出它).
ineq_id,subset,coeff
# dfz01  [DFZ(1)]  source=psitip+pdf  original: I(A&B&C) <= I(A&B|D)+I(C&D|E)+I(A&E)
dfz01,B,-1
dfz01,AB,1
dfz01,C,-1
dfz01,AC,1
dfz01,BC,1
dfz01,ABC,-1
dfz01,D,-1
dfz01,AD,1
dfz01,BD,1
dfz01,ABD,-1
dfz01,AE,-1
dfz01,CE,1
dfz01,DE,1
dfz01,CDE,-1
# dfz02  [DFZ(2)]  source=psitip+pdf  original: I(A&B&C) <= I(A&C|D)+I(A&D|E)+I(B&E)
dfz02,A,-1
dfz02,AB,1
dfz02,C,-1
dfz02,AC,1
dfz02,BC,1
dfz02,ABC,-1
dfz02,D,-1
dfz02,AD,1
dfz02,CD,1
dfz02,ACD,-1
dfz02,AE,1
dfz02,BE,-1
dfz02,DE,1
dfz02,ADE,-1
# dfz03  [DFZ(3)]  source=psitip+pdf  original: I(A&B&D) <= I(A&C)+I(B&E|C)+I(A&D|C+E)
dfz03,B,-1
dfz03,AB,1
dfz03,AC,-1
dfz03,BC,1
dfz03,D,-1
dfz03,AD,1
dfz03,BD,1
dfz03,ABD,-1
dfz03,ACE,1
dfz03,BCE,-1
dfz03,CDE,1
dfz03,ACDE,-1
# dfz04  [DFZ(4)]  source=psitip+pdf  original: I(A&B&D+E) <= I(A&C)+I(B&D|C)+I(A&E|C+D)
dfz04,B,-1
dfz04,AB,1
dfz04,AC,-1
dfz04,BC,1
dfz04,ACD,1
dfz04,BCD,-1
dfz04,DE,-1
dfz04,ADE,1
dfz04,BDE,1
dfz04,ABDE,-1
dfz04,CDE,1
dfz04,ACDE,-1
# dfz05  [DFZ(5)]  source=psitip+pdf  original: I(A&B&C+E) <= I(A&C)+I(B&D|C)+I(A&E|D)+I(B&C|D+E)
dfz05,B,-1
dfz05,AB,1
dfz05,AC,-1
dfz05,BC,1
dfz05,D,-1
dfz05,AD,1
dfz05,CD,1
dfz05,BCD,-1
dfz05,CE,-1
dfz05,ACE,1
dfz05,BCE,1
dfz05,ABCE,-1
dfz05,ADE,-1
dfz05,BDE,1
dfz05,CDE,1
dfz05,BCDE,-1
# dfz06  [DFZ(6)]  source=psitip+pdf  original: I(A&B&C+D) <= I(A&C)+I(B&D|E)+I(D&E|C)+I(A&C|D+E)
dfz06,B,-1
dfz06,AB,1
dfz06,AC,-1
dfz06,ACD,1
dfz06,BCD,1
dfz06,ABCD,-1
dfz06,E,-1
dfz06,BE,1
dfz06,CE,1
dfz06,ADE,1
dfz06,BDE,-1
dfz06,ACDE,-1
# dfz07  [DFZ(7)]  source=psitip+pdf  original: I(A&B&D+E) <= I(A&C|D)+I(A&E|C)+I(B&D)+I(B&D|C+E)
dfz07,A,-1
dfz07,AB,1
dfz07,C,-1
dfz07,AC,1
dfz07,AD,1
dfz07,BD,-1
dfz07,CD,1
dfz07,ACD,-1
dfz07,ACE,-1
dfz07,BCE,1
dfz07,DE,-1
dfz07,ADE,1
dfz07,BDE,1
dfz07,ABDE,-1
dfz07,CDE,1
dfz07,BCDE,-1
# dfz08  [DFZ(8)]  source=psitip+pdf  original: I(A&B&D)+I(A&B&C) <= I(A&B|E)+I(C&D)+I(C+D&E)
dfz08,A,-2
dfz08,B,-2
dfz08,AB,2
dfz08,AC,1
dfz08,BC,1
dfz08,ABC,-1
dfz08,AD,1
dfz08,BD,1
dfz08,ABD,-1
dfz08,AE,1
dfz08,BE,1
dfz08,ABE,-1
dfz08,CDE,-1
# dfz09  [DFZ(9)]  source=psitip+pdf  original: I(A&B&E)+I(A&B&D) <= I(A&C)+I(D&E)+I(B&D+E|C)
dfz09,A,-1
dfz09,B,-2
dfz09,AB,2
dfz09,AC,-1
dfz09,BC,1
dfz09,AD,1
dfz09,BD,1
dfz09,ABD,-1
dfz09,AE,1
dfz09,BE,1
dfz09,ABE,-1
dfz09,DE,-1
dfz09,CDE,1
dfz09,BCDE,-1
# dfz10  [DFZ(10)]  source=psitip  original: I(A&B&D)+I(A&B&C) <= I(C&D)+I(A&E)+I(B&D|E)+I(A&C|D+E)
dfz10,A,-1
dfz10,B,-2
dfz10,AB,2
dfz10,AC,1
dfz10,BC,1
dfz10,ABC,-1
dfz10,AD,1
dfz10,BD,1
dfz10,ABD,-1
dfz10,CD,-1
dfz10,AE,-1
dfz10,BE,1
dfz10,ADE,1
dfz10,BDE,-1
dfz10,CDE,1
dfz10,ACDE,-1
# dfz11  [DFZ(11)]  source=psitip  original: I(A&B+C) <= I(A&C|B+D)+I(A&C+E)+I(A&B|D+E)+I(B&D|C+E)
dfz11,BC,-1
dfz11,ABC,1
dfz11,BD,-1
dfz11,ABD,1
dfz11,BCD,1
dfz11,ABCD,-1
dfz11,ACE,-1
dfz11,BCE,1
dfz11,DE,-1
dfz11,ADE,1
dfz11,BDE,1
dfz11,ABDE,-1
dfz11,CDE,1
dfz11,BCDE,-1
# dfz12  [DFZ(12)]  source=psitip+pdf  original: I(A&B|C) <= I(A&B|D)+I(A&D|E)+I(B&E|C)+I(A&C|B+E)+I(C&E|B+D)
dfz12,AC,-1
dfz12,ABC,1
dfz12,D,-1
dfz12,AD,1
dfz12,ABD,-1
dfz12,BCD,1
dfz12,E,-1
dfz12,AE,1
dfz12,BE,-1
dfz12,ABE,1
dfz12,CE,1
dfz12,ABCE,-1
dfz12,DE,1
dfz12,ADE,-1
dfz12,BDE,1
dfz12,BCDE,-1
# dfz13  [DFZ(13)]  source=psitip  original: I(A&B+C) <= I(A&B|D)+I(A&C+E)+I(B&D|C+E)+I(A&C|B+E)+I(C&E|B+D)
dfz13,BC,-1
dfz13,ABC,1
dfz13,D,-1
dfz13,AD,1
dfz13,ABD,-1
dfz13,BCD,1
dfz13,BE,-1
dfz13,ABE,1
dfz13,ACE,-1
dfz13,BCE,2
dfz13,ABCE,-1
dfz13,BDE,1
dfz13,CDE,1
dfz13,BCDE,-2
# dfz14  [DFZ(14)]  source=psitip  original: I(A&B+C) <= I(A&D)+I(B&E|D)+I(A&B|C+E)+I(A&C|B+D)+I(A&C|D+E)
dfz14,BC,-1
dfz14,ABC,1
dfz14,AD,-1
dfz14,ABD,1
dfz14,BCD,1
dfz14,ABCD,-1
dfz14,CE,-1
dfz14,ACE,1
dfz14,BCE,1
dfz14,ABCE,-1
dfz14,ADE,1
dfz14,BDE,-1
dfz14,CDE,1
dfz14,ACDE,-1
# dfz15  [DFZ(15)]  source=psitip  original: I(A&B+C) <= I(A&D)+I(B&E|D)+I(A&C|E)+I(A&B|C+D)+I(A&C|B+D)+I(B&D|C+E)
dfz15,BC,-1
dfz15,ABC,1
dfz15,AD,-1
dfz15,ABD,1
dfz15,CD,-1
dfz15,ACD,1
dfz15,BCD,2
dfz15,ABCD,-2
dfz15,E,-1
dfz15,AE,1
dfz15,ACE,-1
dfz15,BCE,1
dfz15,DE,1
dfz15,BDE,-1
dfz15,CDE,1
dfz15,BCDE,-1
# dfz16  [DFZ(16)]  source=psitip  original: I(A&B+C) <= I(A&B|C+D)+I(A&C|B+D)+I(B+C&D|E)+I(B&C|D+E)+I(A&E)
dfz16,BC,-1
dfz16,ABC,1
dfz16,BD,-1
dfz16,ABD,1
dfz16,CD,-1
dfz16,ACD,1
dfz16,BCD,2
dfz16,ABCD,-2
dfz16,AE,-1
dfz16,BCE,1
dfz16,BDE,1
dfz16,CDE,1
dfz16,BCDE,-2
# dfz17  [DFZ(17)]  source=psitip+pdf  original: I(A+B&C|D) <= I(A&D|B+C)+I(B&D|A+C)+I(A&C|B+E)+I(B&C|A+E)+I(A&B|D+E)+I(C&E|D)
dfz17,AC,-1
dfz17,BC,-1
dfz17,ABC,2
dfz17,ABD,-1
dfz17,ACD,1
dfz17,BCD,1
dfz17,ABCD,-1
dfz17,AE,-1
dfz17,BE,-1
dfz17,ABE,2
dfz17,ACE,1
dfz17,BCE,1
dfz17,ABCE,-2
dfz17,ADE,1
dfz17,BDE,1
dfz17,ABDE,-1
dfz17,CDE,-1
